,Ticker,Position,Date,Company Name,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Adj Close,Close,Dividends,High,Low,Open,Stock Splits,Volume,Daily return,1-week (5-day) moving average daily return,Rolling cumulative sum of volume,Daily P&L,Cumulative Daily P&L,Cumulative Daily Portfolio P&L
0,A,1000.0,2020-08-05,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.87687683105469,0.0,97.80715062107204,96.6888408393448,97.07480389043002,0.0,955900.0,-0.37123949816598567,0.8950228997021952,113074602154.0,-371.23949816598565,-13261.434738031523,-48262.180077326935
1,AAL,2000.0,2020-08-05,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,12.5600004196167,0.0,12.850000381469727,11.550000190734863,11.84000015258789,0.0,113130600.0,-0.8703508945532967,0.6380282888555551,113187732754.0,-1740.7017891065934,-36741.447128402004,-50002.88186643353
0,A,1000.0,2020-08-06,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.44143676757812,0.0,97.23316017595286,94.8184105758005,96.70864662683904,0.0,1075300.0,-0.38232047244125267,0.8859487133923581,115616797904.0,-382.32047244125266,-13643.755210472777,-50385.20233887478
1,AAL,2000.0,2020-08-06,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,13.039999961853027,0.0,13.289999961853027,12.470000267028809,13.039999961853027,0.0,131280100.0,-0.8647884104704997,0.6209834728399634,115748078004.0,-1729.5768209409994,-38471.023949343005,-52114.77915981578
0,A,1000.0,2020-08-07,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.76802062988281,0.0,96.82739724125757,95.8674426388192,96.06536971035759,0.0,897900.0,-0.3940970747634755,0.9194399943749886,118261996956.0,-394.0970747634755,-14037.852285236251,-52508.87623457926
1,AAL,2000.0,2020-08-07,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,13.029999732971191,0.0,13.15999984741211,12.579999923706055,12.859999656677246,0.0,61700700.0,-0.8653480804075948,0.6557293399762327,118323697656.0,-1730.6961608151896,-40201.720110158196,-54239.57239539445
2,AAP,3000.0,2020-08-07,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449.0,1932,,148.0784454345703,0.0,149.28669761778505,146.9189158552366,147.04559165171713,0.0,1424500.0,10.364424287735917,2.479219504364396,118325122156.0,31093.27286320775,31093.27286320775,-23146.2995321867
0,A,1000.0,2020-08-10,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.13463592529297,0.0,96.94614892319379,95.94659993966114,96.82738816114741,0.0,900800.0,-0.38878085234318416,0.8574056745863718,120764659623.0,-388.78085234318416,-14426.633137579436,-23535.080384529883
1,AAL,2000.0,2020-08-10,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,14.0,0.0,14.3100004196167,13.210000038146973,13.289999961853027,0.0,121073900.0,-0.8543709052907891,0.5813553725822878,120885733523.0,-1708.7418105815782,-41910.46192073978,-25243.82219511146
2,AAP,3000.0,2020-08-10,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449.0,1932,,149.39389038085938,0.0,150.27083783123686,148.0589623209065,148.5948812597159,0.0,595500.0,9.670992170061384,2.29228024224415,120886329023.0,29012.97651018415,60106.2493733919,3769.15431507269
0,A,1000.0,2020-08-11,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,95.30333709716797,0.0,96.61956639853126,95.20436601624287,96.2138136583852,0.0,1137000.0,-0.3910381553265251,0.8223892073991047,123532796866.0,-391.0381553265251,-14817.671292905961,3378.116159746165
1,AAL,2000.0,2020-08-11,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,13.729999542236328,0.0,15.100000381469727,13.550000190734863,15.020000457763672,0.0,127879300.0,-0.8559336959183528,0.5499407902595721,123660676166.0,-1711.8673918367056,-43622.32931257648,1666.2487679094595
2,AAP,3000.0,2020-08-11,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449.0,1932,,148.04920959472656,0.0,151.45958359272205,147.90304178826776,151.03084848265735,0.0,764800.0,9.782899820156327,2.2841499090595936,123661440966.0,29348.699460468983,89454.94883386088,31014.948228378442
0,A,1000.0,2020-08-12,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.61956787109375,0.0,97.26284215474404,95.52105529989664,95.65961330521687,0.0,1318100.0,-0.37806428369586215,0.7959603560875496,126626506254.0,-378.0642836958622,-15195.735576601823,30636.88394468258
1,AAL,2000.0,2020-08-12,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,13.539999961853027,0.0,14.0600004196167,13.100000381469727,14.029999732971191,0.0,77379800.0,-0.859862755959356,0.527510636929177,126703886054.0,-1719.725511918712,-45342.05482449519,28917.15843276387
2,AAP,3000.0,2020-08-12,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449.0,1932,,150.32928466796875,0.0,152.0052410795722,149.52053704985366,149.64721284186285,0.0,681500.0,10.102605989032464,2.3249001245078587,126704567554.0,30307.81796709739,119762.76680095827,59224.97639986126
0,A,1000.0,2020-08-13,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,97.74777221679688,0.0,98.09415591674342,96.17423161596722,96.54040500284287,0.0,1190800.0,-0.38039645740645056,0.8224850535911488,129178940511.0,-380.39645740645057,-15576.132034008273,58844.57994245481
1,AAL,2000.0,2020-08-13,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,13.300000190734863,0.0,13.899999618530273,13.109999656677246,13.1899995803833,0.0,47772800.0,-0.863935515980492,0.553895000676117,129226713311.0,-1727.871031960984,-47069.925856456175,57116.70891049383
2,AAP,3000.0,2020-08-13,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,1158449.0,1932,,151.99549865722656,0.0,152.85295398773803,149.86157660183773,150.51441782372444,0.0,686300.0,10.428232817854447,2.4123654807537744,129227399611.0,31284.698453563342,151047.4652545216,88401.40736405717
0,A,1000.0,2020-08-14,Agilent Technologies,reports,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,1090872.0,1999,,96.36226654052734,0.0,97.80715528406617,95.89712962334309,97.43108328271701,0.0,957400.0,-0.3872950109909919,0.8339751191648445,131464264360.0,-387.2950109909919,-15963.427044999265,88014.11235306619
1,AAL,2000.0,2020-08-14,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201.0,1934,,13.329999923706055,0.0,13.5600004196167,13.010000228881836,13.109999656677246,0.0,45670200.0,-0.8616678457007877,0.566031128151242,131509934560.0,-1723.3356914015753,-48793.26154785775,86290.77666166461
